	Temperature (C)	Heat Flow (W/g)
600	26.64	-0.016882906109261686
601	26.65	-0.016980118114551246
602	26.66	-0.01693233005424144
603	26.67	-0.01679454192759211
604	26.68	-0.016721753733857092
605	26.69	-0.016502298805619375
606	26.7	-0.0164895104754601
607	26.71	-0.01647672207595674
608	26.72	-0.016230600273015483
609	26.73	-0.016151145065872896
610	26.74	-0.016025023120429083
611	26.75	-0.015917234435914196
612	26.76	-0.015799445678218227
613	26.77	-0.015766656846564864
614	26.78	-0.01577386794017155
615	26.79	-0.01564107895825284
616	26.8	-0.015611623233353189
617	26.81	-0.015515500764681
618	26.82	-0.015402711551441683
619	26.83	-0.015389922259505084
620	26.84	-0.015277132888070089
621	26.85	-0.015189343436332159
622	26.86	-0.015251553903482318
623	26.87	-0.015138764288709972
624	26.88	-0.015175974591200792
625	26.89	-0.015079851476803796
626	26.9	-0.015086109230411981
627	26.91	-0.014987604994059378
628	26.92	-0.0149748149573945
629	26.93	-0.014876310548158855
630	26.94	-0.0149492346226614
631	26.95	-0.015016444322922151
632	26.96	-0.015083653933815278
633	26.97	-0.015010863454496981
634	26.98	-0.014948072884120478
635	26.99	-0.01511028222183386
636	27.0	-0.015272491466783222
637	27.01	-0.015426367284776976
638	27.02	-0.015280243008286565
639	27.03	-0.015359118636447011
640	27.04	-0.015321327501723214
641	27.05	-0.015158536269909817
642	27.06	-0.015129078273464991
643	27.07	-0.014954382082939421
644	27.08	-0.014820161983167157
645	27.09	-0.014632370354216384
646	27.1	-0.014394578623771359
647	27.11	-0.014331786790942047
648	27.12	-0.014118994854835698
649	27.13	-0.014006202814557334
650	27.14	-0.014060077335873888
651	27.15	-0.014080618417886548
652	27.16	-0.014142826059692748
653	27.17	-0.014295033593720419
654	27.18	-0.014342241019061674
655	27.19	-0.014396115001470644
656	27.2	-0.01458332220669778
657	27.21	-0.014570529300493185
658	27.22	-0.01479106961526755
659	27.23	-0.014728276483431113
660	27.24	-0.014915483237389449
661	27.25	-0.014881261304784399
662	27.26	-0.015114896398967126
663	27.27	-0.01522710280471573
664	27.28	-0.015054309092517926
665	27.29	-0.015121515261431462
666	27.3	-0.01508872131051131
667	27.31	-0.01500092723880675
668	27.32	-0.015003133045365491
669	27.33	-0.014783672062564701
670	27.34	-0.014857544289446967
671	27.35	-0.01475808305838422
672	27.36	-0.014678621701743833
673	27.37	-0.014665826885225997
674	27.38	-0.014569698607858506
675	27.39	-0.014598570202002392
676	27.4	-0.014385775000015144
677	27.41	-0.014381313000917828
678	27.42	-0.014368517537062253
679	27.43	-0.014382388607462993
680	27.44	-0.014169592877802284
681	27.45	-0.014021797013755943
682	27.46	-0.013750667680997974
683	27.47	-0.013551204878532008
684	27.48	-0.013458408605358851
685	27.49	-0.013395612193809026
686	27.5	-0.013132815642877826
687	27.51	-0.013020018951559909
688	27.52	-0.012873888785509102
689	27.53	-0.012865853715144038
690	27.54	-0.012781628025162473
691	27.55	-0.012718830762164846
692	27.56	-0.012531033353703425
693	27.57	-0.012500378655897482
694	27.58	-0.012380438096294188
695	27.59	-0.012377640245292643
696	27.6	-0.012279842244717898
697	27.61	-0.012212044093536711
698	27.62	-0.0122792457907126
699	27.63	-0.012046447335205102
700	27.64	-0.011803648725971172
701	27.65	-0.011707516628633119
702	27.66	-0.011578051042143045
703	27.67	-0.011395251965450548
704	27.68	-0.011282452730835058
705	27.69	-0.011264653337240471
706	27.7	-0.011143520450272781
707	27.71	-0.01101405406886835
708	27.72	-0.011011254191962028
709	27.73	-0.011138454151818689
710	27.74	-0.011025653947369651
711	27.75	-0.011079520244207774
712	27.76	-0.011140053041259534
713	27.77	-0.011187252337447884
714	27.78	-0.011024451465024843
715	27.79	-0.010961650422906644
716	27.8	-0.010808849210007576
717	27.81	-0.010636047825238748
718	27.82	-0.010501024045289409
719	27.83	-0.010110444535731844
720	27.84	-0.00999764262880598
721	27.85	-0.009784840545635554
722	27.86	-0.009738704951788524
723	27.87	-0.009673521560448872
724	27.88	-0.009646433227655571
725	27.89	-0.009519344714209677
726	27.9	-0.009520827447574653
727	27.91	-0.009408024283785288
728	27.92	-0.009295220936017312
729	27.93	-0.009342417403157999
730	27.94	-0.009369613684092837
731	27.95	-0.00924014311103738
732	27.96	-0.009244005682872203
733	27.97	-0.009031201398474131
734	27.98	-0.00905839692338617
735	27.99	-0.009072258923148446
736	28.0	-0.008976120729967452
737	28.01	-0.009079982342710569
738	28.02	-0.009100510426912845
739	28.03	-0.009104371648104959
740	28.04	-0.008941566005150836
741	28.05	-0.009085903020721986
742	28.06	-0.00891595412224877
743	28.07	-0.008978147880017051
744	28.08	-0.008990341435739957
745	28.09	-0.009177534788269437
746	28.1	-0.009098061269793067
747	28.11	-0.008991920879159121
748	28.12	-0.00893911361521571
749	28.13	-0.008892972810141675
750	28.14	-0.00888016512944656
751	28.15	-0.008940690571972887
752	28.16	-0.008837882469892477
753	28.17	-0.008950074155375187
754	28.18	-0.009002265627255923
755	28.19	-0.008966123551033878
756	28.2	-0.009011647925539101
757	28.21	-0.008857172082932685
758	28.22	-0.008744362688706264
759	28.23	-0.008558219741682027
760	28.24	-0.00848540990734703
761	28.25	-0.008505933184518533
762	28.26	-0.008419789572011283
763	28.27	-0.008396979068640675
764	28.28	-0.00861416833988482
